add another song to the cita romántica playlist.	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlistOPEN cita romántica CLOSEplaylist
add clem burke in my playlist pre-party r&b jams	AddToPlaylist artistOPEN clem burke CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN pre-party r&b jams CLOSEplaylist
add live from aragon ballroom to trapeo	AddToPlaylist entity_nameOPEN live from aragon ballroom CLOSEentity_name playlistOPEN trapeo CLOSEplaylist
add unite and win to my  night out	AddToPlaylist entity_nameOPEN unite and win CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN night out CLOSEplaylist
add track to my  digster future hits	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN digster future hits CLOSEplaylist
add the piano bar to my  cindy wilson	AddToPlaylist playlistOPEN the piano bar CLOSEplaylist playlist_ownerOPEN my CLOSEplaylist_owner artistOPEN cindy wilson CLOSEartist
add spanish harlem incident to cleaning the house	AddToPlaylist entity_nameOPEN spanish harlem incident CLOSEentity_name playlistOPEN cleaning the house CLOSEplaylist
add the greyest of blue skies in indie español  my playlist	AddToPlaylist entity_nameOPEN the greyest of blue skies CLOSEentity_name playlistOPEN indie español CLOSEplaylist playlist_ownerOPEN my CLOSEplaylist_owner
add the name kids in the street to the plylist new indie mix	AddToPlaylist entity_nameOPEN kids in the street CLOSEentity_name playlistOPEN new indie mix CLOSEplaylist
add album  radar latino	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlistOPEN radar latino CLOSEplaylist
add tranquility to the latin pop rising playlist.	AddToPlaylist entity_nameOPEN tranquility CLOSEentity_name playlistOPEN latin pop rising CLOSEplaylist
add d flame to the dcode2016 playlist.	AddToPlaylist artistOPEN d flame CLOSEartist playlistOPEN dcode2016 CLOSEplaylist
add album to my  fairy tales	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN fairy tales CLOSEplaylist
i need another artist in the new indie mix playlist.	AddToPlaylist music_itemOPEN artist CLOSEmusic_item playlistOPEN new indie mix CLOSEplaylist
add to playlist i love my neo soul the name national treasure book of secrets	AddToPlaylist playlistOPEN i love my neo soul CLOSEplaylist entity_nameOPEN national treasure book of secrets CLOSEentity_name
add the fire and the wind to my  digster future hits playlist.	AddToPlaylist entity_nameOPEN the fire and the wind CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN digster future hits CLOSEplaylist
add caleigh peters to my  women of country list	AddToPlaylist artistOPEN caleigh peters CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN women of country CLOSEplaylist
add children of telepathic experiences to the playlist named baladas románticas	AddToPlaylist entity_nameOPEN children of telepathic experiences CLOSEentity_name playlistOPEN baladas románticas CLOSEplaylist
add 9th inning to my  bossa nova dinner playlist	AddToPlaylist entity_nameOPEN 9th inning CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN bossa nova dinner CLOSEplaylist
i need another tune in my  legendary guitar solos playlist.	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN legendary guitar solos CLOSEplaylist
add slimm cutta calhoun to my  this is prince playlist.	AddToPlaylist artistOPEN slimm cutta calhoun CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN this is prince CLOSEplaylist
add always to dena's  baroque 50 spotify picks playlist.	AddToPlaylist entity_nameOPEN always CLOSEentity_name playlist_ownerOPEN dena's CLOSEplaylist_owner playlistOPEN baroque 50 spotify picks CLOSEplaylist
add song to sleepytime	AddToPlaylist music_itemOPEN song CLOSEmusic_item playlistOPEN sleepytime CLOSEplaylist
add an album to my list la mejor música dance 2017	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN la mejor música dance 2017 CLOSEplaylist
add hey, johnnie cope, are ye waking yet to year in metal 2016 playlist	AddToPlaylist entity_nameOPEN hey, johnnie cope, are ye waking yet CLOSEentity_name playlistOPEN year in metal 2016 CLOSEplaylist
add the album to the psychedelic rock playlist	AddToPlaylist music_itemOPEN album CLOSEmusic_item playlistOPEN psychedelic rock CLOSEplaylist
can you add esquivando charcos to my playlist entitled the piano bar	AddToPlaylist entity_nameOPEN esquivando charcos CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN the piano bar CLOSEplaylist
add wiktor coj to the sleep playlist.	AddToPlaylist artistOPEN wiktor coj CLOSEartist playlistOPEN sleep CLOSEplaylist
incorporate time warp into my  fairy tales playlist.	AddToPlaylist entity_nameOPEN time warp CLOSEentity_name playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN fairy tales CLOSEplaylist
add this maksim  tune to trad folk	AddToPlaylist artistOPEN maksim CLOSEartist music_itemOPEN tune CLOSEmusic_item playlistOPEN trad folk CLOSEplaylist
add tune to my playlist eletro br	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN eletro br CLOSEplaylist
add this tune to my  dinnertime acoustics list	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN dinnertime acoustics CLOSEplaylist
add monsters  this is prince playlist	AddToPlaylist entity_nameOPEN monsters CLOSEentity_name playlistOPEN this is prince CLOSEplaylist
add a tune in chill vibes	AddToPlaylist music_itemOPEN tune CLOSEmusic_item playlistOPEN chill vibes CLOSEplaylist
can you add a track to my  spain top 50 playlist	AddToPlaylist music_itemOPEN track CLOSEmusic_item playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN spain top 50 CLOSEplaylist
put this album by mike tramp on deathcore	AddToPlaylist music_itemOPEN album CLOSEmusic_item artistOPEN mike tramp CLOSEartist playlistOPEN deathcore CLOSEplaylist
add ross the boss to laurie's  listas de éxitos list	AddToPlaylist artistOPEN ross the boss CLOSEartist playlist_ownerOPEN laurie's CLOSEplaylist_owner playlistOPEN listas de éxitos CLOSEplaylist
add some beatmaster v to the this is nicky jam playlist.	AddToPlaylist artistOPEN beatmaster v CLOSEartist playlistOPEN this is nicky jam CLOSEplaylist
add paulinho da viola to my  radio rock song list	AddToPlaylist artistOPEN paulinho da viola CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN radio rock CLOSEplaylist
add eef barzelay to my  country coffeehouse	AddToPlaylist artistOPEN eef barzelay CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN country coffeehouse CLOSEplaylist
add this artist to queen playlist	AddToPlaylist music_itemOPEN artist CLOSEmusic_item playlistOPEN queen CLOSEplaylist
add olga souza to virginia's  femme fatale playlist	AddToPlaylist artistOPEN olga souza CLOSEartist playlist_ownerOPEN virginia's CLOSEplaylist_owner playlistOPEN femme fatale CLOSEplaylist
add an album by m g sreekumar to my  laidback acoustic playlist.	AddToPlaylist music_itemOPEN album CLOSEmusic_item artistOPEN m g sreekumar CLOSEartist playlist_ownerOPEN my CLOSEplaylist_owner playlistOPEN laidback acoustic CLOSEplaylist
